longitude,latitude
-117.1694781,32.7217511
-89.5206898,43.1401921
-122.137622,38.0192113
-123.3170893,48.4259751
-72.690402,19.4608336
-87.9192499,43.0433121
-92.4618,44.0217665
-117.8995789,33.9196222
-76.7365772,39.2016698
-82.4124439,28.0641014
-77.6351957,39.1363945
-76.4606223,39.3772876
-80.5263399,43.4988953
-72.5159349,18.7951906
-93.1482803,44.9739965
-93.1483144,44.9739971
-93.1437604,44.9816045
-93.1437978,44.9816229
-86.1015272,42.7903619
-121.7941545,38.5329057
-86.110003,42.7869212
-76.9353142,39.1127751
-93.0857908,44.9479301
-93.0858307,44.9479704
-90.1217124,29.9339324
-122.028112,36.974087
-121.360851,47.711116
-77.4654266,43.1368593
-117.16126,32.7181859
-117.161233,32.7181861
-117.161291,32.7181861
-121.2676899,38.7742493
-82.6389951,27.782957
-81.1861303,42.7781672
-121.882844,45.6919034
-122.973542,46.725756
-121.9838106,47.7413376
-76.018226,43.033458
-123.7278729,48.3564981
-123.4847767,48.4199182
-123.3680871,48.4223308
-123.4938504,48.423213
-123.4689992,48.4418607
-123.4166168,48.6595421
-117.0940701,32.9631191
-63.0755092,46.4153084
-76.4606892,39.377285
-76.4606552,39.3772858
-76.4607274,39.377285
-76.4607665,39.3772834
-76.9277402,38.9785373
-123.4667968,48.4446621
-82.6288,27.777557
-87.6789876,42.04846
-81.68065,36.2119774
-120.429505,34.9226306
-118.2881637,34.021056
-97.8202555,30.235051
-120.429536,34.9226724
-123.3592312,48.4549272
-87.6771092,42.0333029
-76.1196395,43.0416997
-76.1195919,43.0417004
-76.1195176,43.0417086
-76.1200676,43.0417889
-76.1200703,43.0418097
-82.569566,27.4989893
-71.364391,46.7608544
-77.2023665,39.0935392
-77.0961117,38.980815
-120.685523,35.251918
-123.5356949,48.3810207
-123.3852662,48.4153375
-123.3848737,48.4291305
-123.4742041,48.4353728
-123.521255,48.4432153
-123.3746982,48.4461792
-123.4648599,48.4475393
-123.5031647,48.4493991
-123.3436194,48.4498813
-123.398215,48.4542446
-123.3436887,48.4557011
-123.3089013,48.4667479
-123.3307877,48.47828
-123.4157664,48.4920868
-123.3885124,48.5016047
-123.4484137,48.5759752
-123.4205048,48.5948038
-76.1456399,43.0441272
-76.1463563,43.0441309
-76.1461334,43.0441331
-76.1458226,43.0441332
-76.1465895,43.0441362
-76.1469673,43.044139
-76.1467813,43.0441396
-72.1582099,19.6963682
-76.0644337,43.036921
-121.565357,37.0244647
-76.9209354,39.0141619
-76.1476385,43.050697
-122.0634583,36.9992834
-122.0635066,36.9992748
-80.0533258,40.6121473
-80.0533041,40.6120096
-120.36534,50.671172
-77.4323152,38.8399176
-81.3353973,41.1470173
-76.9455048,38.988231
-122.027997,36.973715
-122.028007,36.9737498
-122.894838,47.0358749
-81.334778,41.1456692
-92.467056,42.7252147
-93.1057866,44.9561284
-119.6361864,37.472995
-83.9652653,35.7547409
-77.4616288,37.6698402
-95.4342784,29.7764065
-95.4342999,29.7764001
-95.4343194,29.7763942
-122.024936,36.9705128
-122.0266002,36.9726712
-122.0249424,36.9734202
-117.926466,33.8150064
-122.340901,48.4555001
-97.8223048,30.2324419
-122.129957,47.6793169
-85.6176198,42.2785518
-117.8580218,33.9120192
-84.466365,33.9248874
-120.237896,36.25415
-76.0183663,43.0334572
-76.018296,43.0334576
-84.4576723,33.9016604
-76.6500257,39.3763243
-80.5444952,43.4658335
-121.481743,38.574999
-71.447926,42.555024
-118.1284959,34.1382846
-88.2396019,40.0913347
-76.607961,39.409485
-78.8959649,43.9421839
-111.98003,33.5814023
-81.3779111,28.5598079
-85.6227309,44.7601937
-86.131501,39.9986023
-118.5320493,34.2372186
-118.5244864,34.2376687
-83.7476946,42.2836923
-83.7476634,42.2836912
-85.5987591,42.221294
-79.938206,40.454979
-97.7139602,30.2717267
-79.7914314,36.0692159
-97.7139585,30.2717778
-117.891846,33.7804056
-76.1476654,43.0506996
-76.1477715,43.0506996
-76.1476949,43.0507
-76.147808,43.0507008
-76.1478363,43.0507008
-121.7721363,45.3020102
-121.2850812,38.7473428
-121.308851,38.7511492
-121.316811,38.7962107
-121.364476,38.7042523
-97.1553139,33.2390523
-97.1553095,33.2390259
-97.1553063,33.2390033
-85.659771,42.295204
-78.7612424,35.823419
-78.7572989,35.8249416
-78.7570951,35.8222168
-121.204609,38.7997495
-121.215701,38.788928
-121.215701,38.7889516
-118.345237,34.1932747
-121.215703,38.7889859
-121.215704,38.7890324
-78.10358,36.7485331
-73.819152,42.710337
-76.6399446,39.473697
-108.604297,39.0907494
-123.134434,49.7368401
-79.3223719,43.7402162
-122.0044856,37.3855264
-122.0045347,37.3855264
-122.0044373,37.3855276
-79.5675849,43.6568507
-86.0150068,42.8114933
-121.3381955,38.551713
-121.3365622,38.5467517
-74.7480654,45.0236565
-112.734067,32.9437088
-106.070761,39.6314123
-83.729115,34.7031739
-97.01993,42.2317299
-114.065641,35.1913868
-124.8129274,49.2563717
-113.6018904,37.1264327
-121.4415372,49.3797411
-122.2144698,37.7153342
-122.2144516,37.7153474
-73.4111995,41.5785048
-123.5136749,48.4949516
-78.6499224,35.8994028
-122.2727209,37.5335204
-122.2108358,37.7119026
-122.2108596,37.7119155
-122.2108822,37.7119284
-122.210907,37.7119413
-122.2109328,37.7119587
-122.2109528,37.7119718
-122.2109769,37.711985
-122.2110044,37.7120029
